Date,Value,Daily Return,Total Return,adjclose,IWM Daily Return,IWM Total Return
2021-12-31,1000000.0,0.0,0.0,222.0135955810547,0.0,0.0
2022-01-03,1029052.6223220824,0.02905262232208239,0.02905262232208239,224.8779754638672,0.012901821959667936,0.012901821959667936
2022-01-04,1004037.2616567612,-0.02430911706815675,0.004037261656761215,224.53863525390625,-0.0015089970872468328,0.01137335606066392
2022-01-05,943107.1406316756,-0.06068511931972009,-0.056892859368324444,216.93359375,-0.03386963448542624,-0.022881489837409674
2022-01-06,945693.5308189392,0.0027424139589604657,-0.054306469181060746,218.1711578369141,0.0057048060907536335,-0.017307218209245967
2022-01-07,939090.4638824464,-0.006982248182214823,-0.060909536117553564,215.6461334228516,-0.011573594049264724,-0.02868050554083479
2022-01-10,891234.7138690948,-0.050959680514168326,-0.10876528613090519,214.8975982666016,-0.003471127185861622,-0.03205207904420937
2022-01-11,910927.9937410356,0.022096625687353155,-0.08907200625896439,217.18310546875,0.010635331528056513,-0.021757632002951555
2022-01-12,891121.9729270935,-0.021742685426322184,-0.1088780270729065,215.5662841796875,-0.007444507645163689,-0.02904016479032856
2022-01-13,851718.6384057999,-0.04421766684965067,-0.14828136159420013,213.5901641845703,-0.009167110722518967,-0.03794106110681439
2022-01-14,846197.2230787277,-0.006482675238159374,-0.1538027769212723,213.8895721435547,0.0014017872036731216,-0.03659245919709453
2022-01-18,794152.0083026886,-0.06150482813767988,-0.20584799169731138,207.4222869873047,-0.030236561284574415,-0.06572259034660277
2022-01-19,770188.9292039871,-0.030174423596707745,-0.22981107079601293,204.0489196777344,-0.01626328278685285,-0.08091700806116431
2022-01-20,746844.5014657974,-0.030310001680129095,-0.2531554985342026,200.35617065429688,-0.018097371107230975,-0.09754999404462561
2022-01-21,698709.3091831207,-0.06445142487921374,-0.3012906908168793,196.6035614013672,-0.01872969143238723,-0.11445260418932579
2022-01-24,744905.8351554871,0.06611694643996646,-0.25509416484451297,201.1346435546875,0.023046795902491812,-0.0940435740960941
2022-01-25,720722.1064624786,-0.03246548429569018,-0.2792778935375214,198.44992065429688,-0.013347889020722925,-0.10613617992667024
2022-01-26,696590.5251159668,-0.03348250474091452,-0.30340947488403325,195.58555603027344,-0.01443368994343519,-0.11903793315726319
2022-01-27,681769.8121271133,-0.021276076051115034,-0.3182301878728867,191.144287109375,-0.02270755065476815,-0.13904242391502397
2022-01-28,706620.3356599808,0.03645002036000111,-0.2933796643400193,194.8669586181641,0.01947571421090366,-0.12227466021548061
2022-01-31,764931.0600795746,0.08252058634164805,-0.23506893992042543,200.84521484375,0.030678655160314428,-0.09534722719076161
2022-02-01,780528.1366462708,0.02039017289358558,-0.21947186335372926,202.9610595703125,0.010534703195236972,-0.08581697873446814
2022-02-02,743566.8810548782,-0.047354161696470776,-0.2564331189451218,200.94500732421875,-0.009933197286030704,-0.09489773904023835
2022-02-03,700145.5090026855,-0.058396054421616994,-0.2998544909973144,197.1424865722656,-0.018923190989353134,-0.11202516198927526
2022-02-04,725000.975405693,0.035500429672701284,-0.2749990245943069,197.99082946777344,0.004303196689146249,-0.10820403160630221
2022-02-07,734531.4959831238,0.013145527938217771,-0.26546850401687627,198.96890258789065,0.004939992032693796,-0.10379856662764908
