Date,Value,Daily Return,Total Return,adjclose,IVV Daily Return,IVV Total Return
2021-12-31,1000000.0,0.0,0.0,475.4110107421875,0.0,0.0
2022-01-03,1003236.9791164398,0.00323697911643972,0.00323697911643972,478.2515563964844,0.005974926095763555,0.005974926095763555
2022-01-04,954663.3739266396,-0.048416880757903735,-0.04533662607336042,478.0921020507813,-0.00033341103352491075,0.005639522955953824
2022-01-05,932545.9104161264,-0.02316781403222956,-0.06745408958387367,468.7730407714844,-0.019492188302887126,-0.01396259199032912
2022-01-06,949127.5808267592,0.017781076754959546,-0.05087241917324081,468.4242248535156,-0.0007441040495730356,-0.0146963064186596
2022-01-07,960810.672858715,0.012309295681597332,-0.03918932714128498,466.5504455566406,-0.004000175903500658,-0.018637694511353886
2022-01-10,967355.255224228,0.006811521302152901,-0.03264474477577195,465.67333984375,-0.0018799804420809307,-0.020482636452268
2022-01-11,1023671.1708374023,0.05821637429376514,0.023671170837402444,470.26806640625,0.009866844780166417,-0.010817890666664609
2022-01-12,1037574.5497832298,0.013581879945347985,0.03757454978322983,471.5139465332031,0.002649297743038348,-0.00819725273695382
2022-01-13,980055.9502587318,-0.05543563066048096,-0.019944049741268177,465.0454406738281,-0.013718588616380423,-0.021803386615251497
2022-01-14,999981.9383387566,0.020331480131072333,-1.8061661243407023e-05,465.2048950195313,0.0003428790646180513,-0.021467983475441432
2022-01-18,988843.3751797676,-0.01113876434357719,-0.011156624820232386,456.9822082519531,-0.017675408955516114,-0.038763937043578944
2022-01-19,990568.1667470932,0.0017442515272068082,-0.009431833252906752,452.2579040527344,-0.010338048427071422,-0.048701242012269885
2022-01-20,1013906.6294136049,0.02356068310084347,0.013906629413604765,447.2345886230469,-0.011107192123505194,-0.05926750008409154
2022-01-21,945664.909608364,-0.06730572404355284,-0.054335090391635976,438.5235290527344,-0.019477607036459843,-0.07759071804388007
2022-01-24,926878.8980174063,-0.019865399889626545,-0.0731211019825937,440.0584106445313,0.0035001122861353373,-0.07436218198326017
2022-01-25,903369.61166811,-0.025363924456132003,-0.09663038833188997,434.9952392578125,-0.01150568030117416,-0.08501227479203721
2022-01-26,849732.325006485,-0.05937468558697867,-0.150267674993515,433.9885864257813,-0.0023141697682685924,-0.08712971172405037
2022-01-27,818478.9284667969,-0.03678028435536995,-0.18152107153320307,431.7261047363281,-0.005213228550746907,-0.09188871317401914
2022-01-28,824162.6435394287,0.006944241170971477,-0.1758373564605713,442.2810363769531,0.024448212709007544,-0.06968701527024701
2022-01-31,907546.098370552,0.10117354321354188,-0.092453901629448,450.27447509765625,0.01807321151768848,-0.05287327191957414
