Date,Value,Daily Return,Total Return,adjclose,IVV Daily Return,IVV Total Return
2021-12-31,1000000.0,0.0,0.0,475.4110107421875,0.0,0.0
2022-01-03,983699.4756469728,-0.0163005243530272,-0.0163005243530272,478.2515563964844,0.005974926095763555,0.005974926095763555
2022-01-04,977096.9561843872,-0.006711927398602269,-0.02290304381561281,478.0921020507813,-0.00033341103352491075,0.005639522955953824
2022-01-05,971869.2495040894,-0.005350243542577737,-0.028130750495910628,468.7730407714844,-0.019492188302887126,-0.01396259199032912
2022-01-06,945774.0433425904,-0.02685053177144392,-0.05422595665740959,468.4242248535156,-0.0007441040495730356,-0.0146963064186596
2022-01-07,953814.1137924194,0.008501047905072001,-0.04618588620758057,466.5504455566406,-0.004000175903500658,-0.018637694511353886
2022-01-10,940419.7468338012,-0.014042953196993002,-0.05958025316619886,465.67333984375,-0.0018799804420809307,-0.020482636452268
2022-01-11,938561.4789428712,-0.0019759983743283804,-0.06143852105712877,470.26806640625,0.009866844780166417,-0.010817890666664609
2022-01-12,941976.317199707,0.0036383746120520755,-0.05802368280029302,471.5139465332031,0.002649297743038348,-0.00819725273695382
2022-01-13,942776.2958831788,0.000849255622317413,-0.057223704116821206,465.0454406738281,-0.013718588616380423,-0.021803386615251497
2022-01-14,931432.6341400146,-0.01203218811577944,-0.06856736585998535,465.2048950195313,0.0003428790646180513,-0.021467983475441432
2022-01-18,910627.750732422,-0.02233643383861217,-0.08937224926757803,456.9822082519531,-0.017675408955516114,-0.038763937043578944
2022-01-19,920382.4497451782,0.010712059900338522,-0.07961755025482176,452.2579040527344,-0.010338048427071422,-0.048701242012269885
2022-01-20,926828.2246780396,0.007003365758056379,-0.0731717753219604,447.2345886230469,-0.011107192123505194,-0.05926750008409154
2022-01-21,923535.2732543944,-0.003552925273492824,-0.07646472674560556,438.5235290527344,-0.019477607036459843,-0.07759071804388007
2022-01-24,917640.3854751588,-0.006382958994584964,-0.0823596145248412,440.0584106445313,0.0035001122861353373,-0.07436218198326017
2022-01-25,872823.6792907715,-0.04883907344725358,-0.12717632070922846,434.9952392578125,-0.01150568030117416,-0.08501227479203721
2022-01-26,855604.9047012329,-0.019727666650302123,-0.14439509529876704,433.9885864257813,-0.0023141697682685924,-0.08712971172405037
2022-01-27,859726.4539871216,0.004817117413939975,-0.14027354601287845,431.7261047363281,-0.005213228550746907,-0.09188871317401914
2022-01-28,865305.4330596924,0.0064892490474119935,-0.13469456694030757,442.2810363769531,0.024448212709007544,-0.06968701527024701
2022-01-31,902677.8386001588,0.0431898426990327,-0.09732216139984118,450.27447509765625,0.01807321151768848,-0.05287327191957414
