Date,Value,Daily Return,Total Return,adjclose,IYW Daily Return,IYW Total Return
2021-12-31,1000214.7,0.0,0.0,114.77545166015624,0.0,0.0
2022-01-03,1001018.6427261352,0.0008037701566825373,0.0008037701566825373,115.36522674560548,0.005138512433787046,0.005138512433787046
2022-01-04,987362.8094284056,-0.013641937037795704,-0.01284913186298342,113.86580657958984,-0.012997158748034532,-0.007925432376078123
2022-01-05,944388.3606445312,-0.0435244758801,-0.0558143560132327,109.61746215820312,-0.03731009816733011,-0.0449398318834382
2022-01-06,951684.1051971436,0.007725364751036468,-0.04852017752074267,109.4875030517578,-0.0011855693781503973,-0.04607212197304844
2022-01-07,939279.489161682,-0.013034383959677487,-0.060922130856823076,108.37793731689452,-0.010134176996791644,-0.055739395931147406
2022-01-10,942035.9003707884,0.0029346017249525236,-0.05816631132217065,108.78778076171876,0.0037816132597714436,-0.05216856751012089
2022-01-11,956755.4434158324,0.015625246383126568,-0.04344992788465074,110.21722412109376,0.013139741884301781,-0.03971430713737578
2022-01-12,963320.353251648,0.006861638343417686,-0.03688642723242519,110.74701690673828,0.004806805740838138,-0.03509840035607903
2022-01-13,933003.896685791,-0.0314707941792417,-0.06719637625222763,107.53826141357422,-0.028973741982289303,-0.06305521034246009
2022-01-14,933307.8683120728,0.0003257988818285984,-0.06689246987464503,108.61784362792967,0.010039052149109606,-0.05364917273825154
2022-01-18,911658.4689056396,-0.023196417968260663,-0.08853722215276416,105.6290054321289,-0.027517009139299664,-0.07968991710099693
2022-01-19,899621.7205154418,-0.013203133410965573,-0.10057138680781053,104.32951354980467,-0.012302415203172656,-0.09101195385648675
2022-01-20,879216.3309204101,-0.02268218866852212,-0.1209723963061029,102.87007904052734,-0.013988702329955971,-0.10372751705547667
2022-01-21,839268.5172912597,-0.0454357047569065,-0.16091163498070993,100.58096313476562,-0.022252494866460526,-0.1236718158811494
2022-01-24,849152.3562881469,0.011776730323195483,-0.15102991758854678,101.59056854248048,0.010037738516801786,-0.11487546271406068
2022-01-25,821231.7273361206,-0.03288058820689643,-0.17894455326829273,98.72168731689452,-0.02823964140319124,-0.1398710622441811
2022-01-26,815480.1192047119,-0.007003636050528117,-0.18469492679450528,99.20149230957033,0.00486017820112461,-0.13569068233074388
2022-01-27,800354.5178558349,-0.018548093316643977,-0.19981728137385413,98.34182739257812,-0.008665846621636608,-0.1431806543113171
2022-01-28,821228.0487548828,0.026080356183867615,-0.17894823105990865,102.00041198730467,0.037202731449371695,-0.11130463429303461
2022-01-31,859103.2779876709,0.04612023333861193,-0.14108113189331162,105.21916198730467,0.03155624509046695,-0.08326074552202334
2022-02-01,865796.8924972534,0.00779139677509022,-0.1343889541942811,105.79893493652344,0.0055101460443935935,-0.07820937834522113
2022-02-02,875593.3242980957,0.01131493065606426,-0.12459462523586617,107.5582504272461,0.016628858237355493,-0.06288105277319989
2022-02-03,839740.8281051635,-0.040946516148547274,-0.16043942555017077,102.77011108398438,-0.04451670907849592,-0.10459850431884177
2022-02-04,851899.6827728271,0.0144792943974148,-0.14828318082824898,103.75973510742188,0.00962949259273227,-0.09597624224865864
2022-02-07,843147.0076553344,-0.010274302590422169,-0.15703397714977152,102.8200912475586,-0.009055958545870157,-0.10416304392333653
2022-02-08,853375.8777496337,0.012131775362334896,-0.14680730272247167,104.03961944580078,0.011860796692992004,-0.09353770391724237
2022-02-09,886470.8415557861,0.03878122720485644,-0.1137194428798276,106.63861083984376,0.024980785280523943,-0.07089356393390811
2022-02-10,890440.2896759033,0.004477810136598093,-0.10975084681728497,104.09959411621094,-0.023809544250778636,-0.09301516473710703
