,open,high,low,close,adjclose,volume,ticker
2021-12-31,59.439998626708984,61.20000076293945,58.900001525878906,58.970001220703125,58.970001220703125,2578800,CHWY
2022-01-03,59.38999938964844,60.5099983215332,57.2599983215332,57.47999954223633,57.47999954223633,3126000,CHWY
2022-01-04,57.39500045776367,57.39500045776367,52.869998931884766,54.400001525878906,54.400001525878906,4496400,CHWY
2022-01-05,53.83000183105469,55.20000076293945,51.529998779296875,52.0099983215332,52.0099983215332,3554100,CHWY
2022-01-06,51.560001373291016,54.279998779296875,50.04999923706055,52.88999938964844,52.88999938964844,3174800,CHWY
2022-01-07,50.790000915527344,51.25,48.029998779296875,48.52000045776367,48.52000045776367,8171900,CHWY
2022-01-10,47.95000076293945,49.91999816894531,46.45000076293945,49.90999984741211,49.90999984741211,4190500,CHWY
2022-01-11,49.15999984741211,51.9900016784668,49.02000045776367,50.93000030517578,50.93000030517578,2635500,CHWY
2022-01-12,50.900001525878906,51.88999938964844,48.189998626708984,48.58000183105469,48.58000183105469,3204800,CHWY
2022-01-13,49.36000061035156,49.36000061035156,46.029998779296875,46.09000015258789,46.09000015258789,3598500,CHWY
2022-01-14,45.689998626708984,46.4900016784668,43.119998931884766,44.86000061035156,44.86000061035156,5343800,CHWY
2022-01-18,43.560001373291016,46.2599983215332,42.97999954223633,43.25,43.25,5615500,CHWY
2022-01-19,43.0,44.20000076293945,41.91999816894531,42.189998626708984,42.189998626708984,3258600,CHWY
2022-01-20,42.66999816894531,44.209999084472656,40.619998931884766,40.68000030517578,40.68000030517578,3944400,CHWY
2022-01-21,40.0,40.4900016784668,37.68000030517578,38.04999923706055,38.04999923706055,5377000,CHWY
2022-01-24,37.02000045776367,43.29999923706055,36.70000076293945,43.27000045776367,43.27000045776367,11428200,CHWY
2022-01-25,42.119998931884766,44.29999923706055,41.709999084472656,42.439998626708984,42.439998626708984,8506700,CHWY
2022-01-26,43.630001068115234,45.86000061035156,42.150001525878906,43.439998626708984,43.439998626708984,6788500,CHWY
2022-01-27,43.099998474121094,44.869998931884766,42.47999954223633,42.709999084472656,42.709999084472656,5383500,CHWY
2022-01-28,43.689998626708984,44.31999969482422,41.3489990234375,43.95000076293945,43.95000076293945,3711100,CHWY
2022-01-31,44.4900016784668,47.7599983215332,44.40999984741211,47.61000061035156,47.61000061035156,4258900,CHWY
